a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_ei_in_source
886	-0.17	Teper ei enää pystynyt nousemaan lattiasta.	Teper was unable to get up from the mat.	Teper was no longer able to rise from the floor.	0		1
1193	-0.167	Klopp varmasti tunsi tappioaseman kevyesti epäoikeudenmukaisena, koska lähes heti perään Antonio Rüdiger putsasi Mo Salahin ohjauksen maaliviivalta.	Klopp must have felt the losing position being slightly unfair, since almost right after Antonio Rüdiger cleared Mo Salah's shot from the goal line.	Klopp certainly felt the losing position lightly unfair because almost immediately afterwards Antonio Rüdiger dropped Mo Salah's guidance from the finish line.	0	unfair	epä-
141	-0.149	Se ei kuitenkaan onnistunut kovin nopeasti.	That did not happen very fast, though.	However, it did not succeed very quickly.	0		1
1987	-0.149	Tuomiokirkon kellot eivät luonnollisesti soi, kun viisarit eivät liiku.	Naturally the Cathedral's bells won't ring when the hands are not moving.	Naturally, the bells of the cathedral do not ring when the wise men do not move.	0		1
622	-0.136	Varsinaisia syysmyrskyjä ei ole lähipäiville odotettavissa, mutta muuten luvassa on tyypillisen syksyisen vaihtelevaa säätä.	There are no actual autumn gales to be expected in the next few days, but otherwise it will be a typically changeable autumn weather.	No actual autumn storms are expected for the next few days, but otherwise there will be typically variable weather in the autumn.	0		1
1069	-0.134	Tuore käräjätuomio ei ole tätä kirjoittaessa lainvoimainen.	During the time of writing, the recent district court sentence is not non-appealable.	The recent district judgment is not final at the time of writing.	0	ref and system use different forms - "not non-appealable" vs. "not final" -- transfer from Finnish?	1
1469	-0.081	Laitahyökkääjä Oskari Lehtinen jäi sen sijaan ilman sopimusta koeajan jälkeen.	Wingman Oskari Lehtinen did not manage to secure a deal after his trial period.	Winger Oskari Lehtinen, on the other hand, was left without a contract after a probation period.	0	ref and system use very different forms - neg cue only in ref (vs. lexical expression)	without
157	-0.057	Kukaan ei loukkaantunut haverissa.	No one was hurt during the incident.	Nobody was injured in the haver.	0		1
1845	-0.046	En tiedä, mitä Lewisille tapahtui, kun hän jätti ratkaisukierroksen kesken.	I don’t know what happened to Lewis when he did not finish the decisive lap.	I do not know what happened to Lewis when he left the round of solutions unfinished.	0	ref and system use different forms (second negation in sentence)	1
1114	-0.033	Hän ei kuitenkaan usko, että ne ovat kovin mullistavia, vaikkakin palvelut voivat heikentyä.	However, he does not believe them to be very revolutionary, even if the services can weaken.	However, he does not believe that they are very revolutionary, although services may deteriorate.	0		1
673	-0.015	Tyttäreni Viivi Valkama (s. 2000) on taitava piirtäjä, mutta en saanut häntä houkuteltua mukaan ennen kuin kesällä 2016, kun lahjoin Viiviä piirtolevyn avulla.	My daughter Viivi Valkama (b. 2000) is a skilled drawer, but I didn’t manage to persuade her to help me until summer 2016, when I bribed Viivi with a drawing tablet.	My daughter Viivi Valkama (b. 2000) is a skilled cartoonist, but I couldn't attract her until the summer of 2016 when I donated Viivi with the help of a drawing board.	0		1
302	-0.012	En usko, että Kimi muuttuu jäljellä olevissa kisoissa.	I don’t think Kimi is going to change in the last races.	I don't think Kimi will change in the remaining Games.	0		1
1659	0.009	Nyt ollaan säätämässä lähtökohtaisesti kaiken sellaisen toiminnan kieltämistä, johon laki tai asetus ei erikseen lupaa anna.	Now the proposed provisions essentially forbid all such activities that the act or decrees don't separately permit.	In principle, a ban is now being imposed on all activities that are not expressly authorised by law or regulation.	0		1
1797	0.093	Leikkaa kakku vasta kunnolla jäähtyneenä.	Do not cut the cake until it’s properly cooled.	Cut the cake until properly cooled.	1	contradiction!	0
1558	0.093	Se oli ihanaa, olin vain viikon hotellissa poistumatta minnekään.	It was lovely, I was at the hotel for a week without going anywhere.	It was wonderful, I was only in the hotel for a week without leaving anywhere.	0	without	without
61	0.121	Haastatellun pastorin perustelut ovat hyvät, mutta oikeastaan niitä ei edes tarvita, valokuva itse tehtyyn aborttiin kuolleesta naisesta riittää.	The reasoning of the interviewed pastor is sound, but actually not really needed, a picture of a woman died of a self-made abortion is enough.	The arguments of the pastor interviewed are good, but in fact they are not even needed, a photograph of a woman who has died from a self-abortion is enough.	0		1
661	0.135	Hämeen poliisi ei lauantaina kommentoinut tapahtumien kulkua eikä yliajon mahdollista tahallisuutta tutkinnan keskeneräisyyteen vedoten.	Häme police did not comment on the course of the events or the possible deliberateness of the running over, citing incompleteness of investigation.	On Saturday, Häme police did not comment on the course of events or on the possible intent of overdriving, citing the incomplete investigation.	0		eikä
416	0.154	Jos pääsisin voittajakolmikkoon ja sen myötä minulle urkeaisi ura, niin en tahdo uskoa, että se vaikuttaisi millään tavalla suhteeseemme.	If I made it to the top three and I could make a living out of that, I don't want to believe it had any effect on our relationship.	If I were to get into the winning trio and have a career with it, then I do not want to believe that it would have any impact on our relationship.	0		1
1877	0.162	Seitsemän vuotta jatkuneelle sodalle ei kuitenkaan näy loppua.	There is, however, no end in sight for the war of past seven years.	However, there is no end to seven years of war.	0		1
1175	0.166	Emme voi millään vielä tietää sitä, mitä sieltä voi paljastua, eräs Ylen haastateltavista toteaa.	We have no way of knowing what might yet be revealed, one of Yle's interviewees stated.	We cannot yet know what can be revealed there, "says one of Yle's interviewees.	0		1
738	0.169	Ei varmaan haittaa, jos suomalaisia nimiä on mukana, Rehn sanoi ja lisäsi että ei aio kommentoida asiaa tämän pidemmälle.	It probably is all right, if there are Finnish names involved, Rehn said, adding that he has no further comments on the matter.	It probably doesn't matter if Finnish names are included, "Rehn said, adding that he doesn't intend to comment further.	0		1
664	0.188	Sari Piippo jätti uransa Brysselissä ja ryhtyi kotiäidiksi Suomessa - mieleen putkahti idea sarjakuvasta: piirustustaidon puute ei hidastanut	Sari Piippo left her career in Brussels and became a stay-at-home mother in Finland - got an idea of a comic and lack of drawing skills did not slow her down	Sari Piippo left her career in Brussels and became a housewife in Finland - the idea of a comic book sprang to mind: the lack of drawing skills did not slow down	0		1
30	0.228	Ei saatu juuri mitään otetta kaverin hakkuriin, Mikkonen kehui.	We didn’t manage to get almost any hold of the opponent’s spiker, Mikkonen complimented.	There was almost no grip on a friend's chipper, Mikkonen praised.	0		1
176	0.259	Ahdistelusta ja ryyppäämisestä syytetty Trumpin tuomariehdokas saattaa jäädä vaille huippuvirkaa	Trump's justice nominee accused of sexual assault and drinking may be left without the top position	Trump's nominee for judge accused of harassment and drunkenness may miss out on top job	0	without	without
1371	0.264	Herätä tila henkiin, luo oikea tunnelma sisustukseen ja lue kirjaa silmiä väsyttämättä.	Bring the space to life, create an appropriate atmosphere to the decor, and read a book without tiring your eyes.	Revive the space, create the right atmosphere in the interior and read the book without tiring your eyes.	0	without	without
247	0.276	Haluan olla ääni niille, jotka eivät voi lähteä kaduille Turkissa.	I want to be the voice of people who can't take to the streets in Turkey.	I want to be a voice for those who cannot take to the streets in Turkey.	0		1
1484	0.277	Rob Hall jatkoi matkaa eikä enää palannut.	Rob Hall continued to climb and didn’t return.	Rob Hall continued his journey and did not return.	0		eikä
1113	0.28	Kuntatyönantajien työmarkkinajohtaja Markku Jalonen ei ryhdy ennalta arvioimaan ylityö- ja vuoronvaihtokieltojen vaikutuksia.	Labour market director for municipal employers Markku Jalonen will not estimate the effects of overtime and shift-trading bans in advance.	Markku Jalonen, Labour Market Director of Municipal Employers, will not prejudge the impact of bans on overtime and shift.	0		1
1220	0.281	Mieluiten ottaisin molemmat, mutta paha kyllä sijainnillemme maapallon pohjoiskolkassa emme mahda mitään.	I would rather take both, but it’s unlucky that we cannot help our location in the northern corner of the Earth.	I would prefer to take both, but unfortunately we cannot do anything about our location in the north of the globe.	0		1
1915	0.287	Henkilökortti on maksullinen, ja pankkitunnuksia 10-vuotias ei edes saa.	An identity card is not free, and a 10-year-old can’t even get banking identifiers.	The identity card is subject to a fee, and the 10-year-old does not even receive bank codes.	0	ref and system use very different forms	1
1223	0.306	Vastapuolen perusteluja ei juuri kuunnella, koska tärkeintä on, miltä asia itsestä tuntuu.	There is no need to listen to the justifications of the opposing side, since the most important thing is how one feels about the matter.	The arguments of the other side are hardly listened to, because the most important thing is how you feel.	0	ref and system use very different forms	1
1399	0.319	Kanadalaishyökkääjä pelasi oranssimustissa yhteensä kolme Liiga-ottelua ilman tehopisteitä, KooKoo kertoo tiedotteessaan.	The Canadian forward wore orange and black for a total of three Liiga matches without points, KooKoo’s press release says.	The Canadian attacker played a total of three league games in orange black without power points, KooKoo says in his release.	0		without
453	0.33	Lehterä näytti alivoimaosaamistaan, pelipaikka ei vielä varma	Lehterä demonstrated his short-handed skills, position not yet confirmed	Lehterä showed his underpower skills, the place of play is not yet certain	0		1
305	0.348	Minulle siinä ei ole järkeä.	It does not make sense to me.	For me, that makes no sense.	0		1
938	0.355	Värtisen mukaan tapahtumien seurauksena ei ole tehty yhtään rikosilmoitusta.	According to Värtinen, there have been no criminal complaints done after the events.	According to Värtinen, no crime has been reported as a result of the events.	0		1
1487	0.383	Kun miestä tultiin etsimään, hänet löydettiin niin huonossa kunnossa, ettei eloonjäämiseen uskottu.	When people came to look for the man, they found him in such a bad condition that they didn’t believe he would survive.	When the man came to search, he was found in such a bad condition that survival was not believed.	0		ettei
1166	0.385	Sain olla lapsi monen monta vuotta, eikä tarvinnut miettiä, mitä muut ajattelevat minusta.	I got to be a child for many, many years, and I didn’t have to wonder what others think about me.	I was allowed to be a child for many years and did not have to think about what others think about me.	0		eikä
1920	0.394	Alaikäisilläkin voi olla perhetilanteita, joissa kaikista asioista ei voida vapaasti puhua.	Even minors can have family situations, where not all things can be freely discussed.	Minors may also have family situations where not all issues can be discussed freely.	0		1
1716	0.4	He vain olivat nopeampia kuin me, mutta mistään valtavasta asiasta ei ole kyse.	They just were faster than us, but it's not a huge thing.	They were just quicker than us, but nothing huge is at stake.	0		1
1053	0.417	Raiskauksesta ei näyttöä	No proof about the rape	No evidence of rape	0		1
10	0.43	Pelimme ei vielä ole valmista, mutta mitaliputken jatkaminen on tietenkin tavoite, Kouki sanoi.	Our game is not ready yet, but our goal is naturally to continue winning medals, Kouki said.	Our game is not yet ready, but extending the medal streak is, of course, the goal, Kouki said.	0		1
1413	0.452	Kierrättäminen ei ole Puurulan mukaan aiheuta ylimääräistä vaivaa.	According to Puurula, recycling causes no additional trouble.	Recycling is not an extra effort, according to Puuroulette.	0		1
128	0.46	Trump itse ei panisi pahakseen, jos Nobelin saisi.	Trump himself would not mind receiving a Nobel.	Trump himself would not mind receiving the Nobel Prize.	0		1
188	0.461	Tilaisuutta nimitykseen ei osu joka presidenttikaudelle, sillä Yhdysvalloissa korkeimman oikeuden tuomarit nimitetään eliniäksi.	There is no opportunity for a nomination every presidential term, because the United States Supreme Court justices are nominated for life.	The opportunity for the appointment does not coincide with every presidential term, as Supreme Court judges in the United States are appointed for life.	0		1
300	0.487	Hieman alle kolme viikkoa sitten Ferrari kertoi, että Räikkönen ei jatka tallissa ensi kaudella ja samalla Räikkönen ilmoitti siirtyvänsä Sauberille.	A bit under three weeks ago Ferrari announced the Räikkönen will not continue with the team next season, and at the same time Räikkönen announced his move to Sauber.	Just under three weeks ago Ferrari told that Räikkönen would not continue in the stable next season and at the same time Räikkönen announced that he would move to Sauber.	0		1
1199	0.487	Sekään ei kestänyt enää 89. minuutilla, kun vaihtomies Daniel Sturridge pääsi vapaasti ampumaan 25 metristä.	Even that didn't hold anymore on the 89th minute, when substitute Daniel Sturridge had a free shot from 25 metres.	That didn't last any longer in the 89th minute either, when exchange man Daniel Sturridge was free to shoot from 25 metres.	0		1
1654	0.487	Nyt mennään hakoteille - ei enää tiedä, itkeäkö vai nauraa	Really going off the track now - it’s impossible to know whether to laugh or cry	Now we go astray - we no longer know whether to cry or laugh	0		1
1880	0.487	Ei aivan Super Bowl, mutta kymmenet miljoonat amerikkalaiset katsoivat korkeimman oikeuden tuomaridraamaa tv:stä	Not quite Super Bowl, but tens of millions of Americans watched the Supreme Court Justice drama from the television	Not quite the Super Bowl, but tens of millions of Americans watched the Supreme Court judge drama on TV	0		1
167	0.487	Käymme varmuuden vuoksi vielä telakalla tarkastamassa, ettei tästä aiheutunut mitään vahinkoja, Syrjä kertoo.	Just to be on safe side, we are going to the dock to check this caused no damage, Syrjä says.	As a precaution, we are still going to the shipyard to check that no damage was caused, "Syrjä says.	0		ettei
544	0.49	Helenius ei otellut kertaakaan ollessaan tekemisissä Kokkilan ja Helmisen kanssa.	Helenius had no matches while associating with Kokkila and Helminen.	Helenius never once had contact with Kokkila and Helminen.	0		1
1381	0.525	Hyvä valaisin antaa riittävästi valoa, mutta ei häikäise, Jokiniemi vinkkaa.	A good lamp gives enough light but doesn't cause glares, Jokiniemi gives tips.	A good luminaire gives enough light, but does not dazzle, Jokiniemi says.	0		1
1581	0.534	Muutama vuosi sitten syys- ja talvikauden hittikengiksi nousseet ylipolvensaappaat eivät ole poistuneet mihinkään.	An autumn and winter seasons’ hit shoe a few years ago, over-the-knee boots are not going anywhere.	The overknee boots that became hit shoes for the autumn and winter seasons a few years ago have not gone away.	1	different meanings - not going anywhere vs. not gone away	1
490	0.534	Ihmiskehoa ei ole luotu olemaan tämän kokoinen, Hall sanoi.	Human body isn’t designed to be this size, Hall said.	The human body has not been created to be this size, Hall said.	0		1
492	0.539	Hall ei halunnut, että hänen lapsensa kasvaisivat ilman isää.	Hall didn’t want his children to grow up without their father.	Hall did not want his children to grow up without a father.	0		1
624	0.539	Miss Suomi -finaalia ei nähdä televisiossa	Miss Finland final won’t be seen on television	Miss Finland final not seen on television	0		1
1405	0.539	Kivijalkakaupan asiakkaiden tuotteita ei enää pakata muovipusseihin, vaan kierrätysmateriaalista tehtyihin paperikasseihin.	Brick and mortar shop customers’ items are no longer packed in plastic bags, but in paper bags made from recycled material.	The products of stone shop customers are no longer packed in plastic bags, but in paper bags made of recycled material.	0		1
1206	0.539	Joidenkin sukunimessä on nen-pääte ja joidenkin ei.	Some surnames have a ‘nen’ ending, some do not.	Some have a nen terminal in their surname and some do not.	0		1
538	0.539	Toistuvasti vakuutettiin, että Heleniuksen ei tarvitse mitään maksaa, vain vastaanottaa heidän järjestämiä tuloja.	Again and again there were assurances that Helenius does not need to pay anything, just to receive the income they organise.	There were repeated assurances that Helenius did not have to pay anything, only to receive the income they arranged.	0		1
162	0.539	Ei mainittavampaa törmäystä	No noteworthy crash	No more notable collision	0		1
177	0.565	Yhdysvaltain korkeimman oikeuden tuomariksi esitetty Brett Kavanaugh saattaa hyvinkin jäädä vaille tavoittelemaansa virkaa, arvioi ohjelmajohtaja Mika Aaltola Ulkopoliittisesta instituutista.	Brett Kavanaugh, nominated as a Justice to the Supreme Court, may well be left without the position he is pursuing, estimates programme director Mika Aaltola from the Finnish Institute of International Affairs.	Brett Kavanaugh, who has been presented as a judge of the US Supreme Court, may well not hold the post he is seeking, "says Mika Aaltola, Programme Director at the Foreign Policy Institute.	0		without
1218	0.572	Toisaalta jos ei erityisesti kärsi heräämisestä pimeällä, lisää valoisuus ihmisten liikkumista ulkona ja antaa paremmin mahdollisuuksia esimerkiksi syksyisiin pihatöihin.	On the other hand, if a person does not particularly suffer from waking up when it’s dark, light increases the time people spend outside and better enables for example autumn yard work.	On the other hand, if you do not particularly suffer from waking up in the dark, light increases the movement of people outdoors and gives better opportunities for autumn yard work, for example.	0		1
1996	0.575	Jamsen kertoo, että kirkon kellot eivät soi vian vuoksi.	Jamsen says the church bells don't ring because of a malfunction.	Jamsen says the church bells aren't ringing because of the fault.	0		1
747	0.575	Mukana on jälleen jotakin, mitä kukaan ei ole takuulla ikinä kuullut.	Again there will be something no one has ever heard.	Once again, there is something that no one has ever heard.	0		1
1734	0.576	Saksalainen oli kehässä aloitteellisempi osapuoli, mutta hän ei saanut kunnon osumia perille.	The German had more initiative in the ring, but he didn’t manage to land good hits.	The German was a more proactive party in the ring, but he did not get a decent hit.	0		1
146	0.585	Liikenneturva muistuttaa, että poikkeustilanteissa ei voi lähteä vaarantamaan liikennettä hätiköidyillä ratkaisuilla.	Finnish Road Safety Control notes that one cannot danger the traffic in exceptional situations with rash decisions.	Road safety reminds us that, in exceptional circumstances, traffic cannot be put at risk by hasty solutions.	0		1
1165	0.585	Olen onnellinen, että lapsuudessani ei ollut älypuhelimia.	I’m happy there were no smart phones when I was a child.	I am happy that there were no smartphones in my childhood.	0		1
1068	0.591	Iltalehti ei kerro tuomitun nimeä uhrin yksityisyyden suojelemiseksi.	Iltalehti will not publish the name of the convict in order to protect the victim’r privacy.	Iltalehti does not give the name of the sentenced person to protect the victim's privacy.	0		1
