a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source
758	-1.457	Tai tik mitas - mano vaikinas pats yra sportininkas, bet jam aš patinku, kokia esu, iš manęs jis nereikalauja kažkokių standartų atitinkančios figūros", - prieš pasirodymą su vestuvine suknele kalbės šou dalyvė Aurika.	It is only a myth - my boyfriend is a sportsman himself, but he likes me as I am, he does not require some standard body shape from me," the show participant Aurika would say before appearing in a wedding dress.	This is just a myth - my boyfriend himself is an athlete, but I like him as I am, he does not require some standard figure from me, "- show participant Aurika will speak before the performance with the wedding dress.	0		
690	-1.369	Liepos 31 d. prie jos namų nežinomas užpuolikas K. Gandziuk į veidą šliūkštelėjo rūgšties.	On 31 July, an unknown attacker spilled acid on K. Handziuk’s face near her home.	On July 31, an unknown attacker at her home, K. Handziuk, whispered acid in her face.	0		
109	-1.209	R. Karbauskio teigimu, šios įmokos skaičiuojamos žmonėms, nedeklaravusiems išvykimo iš Lietuvos.	R. Karbauskis says that these payments accrue for people who did not declare their departure from Lithuania.	According to R. Karbauskas, these contributions are calculated for people who have not declared their departure from Lithuania.	0		
645	-0.997	Tačiau minėtų duomenų buvęs Santaros klinikų vadovas ir jo žmona nebuvo nurodę savo interesų deklaracijose.	But the former head of Santaros Klinikos and his wife had not indicated such data in their declarations of interests.	However, the former head of Santaros Clinics and his wife had not indicated the above data in their declarations of interest.	0		
697	-0.939	"Kad niekas neturėtų pagrindo sakyti, kad kažkas įsikibęs laikosi valdžios, noriu pareikšti, kad teikiu pareiškimą atsistatydinti.	"In order that no one would have a pretext to say that someone clings to power, I want to declare that I am submitting my letter of resignation.	so that no one has reason to say that someone is clinging to power, I want to state that I am making a statement to resign.	0		
345	-0.92	"Kelių būklė kol kas negerėja, nes lėšų skiriama nepakankamai.	“The condition of roads is not improving yet, as the assignments are not sufficient.	"The state of the roads is not yet improving due to insufficient funding.	0		
730	-0.913	Dėl to jis buvo ne perkeltas į kitą postą, kaip žadėta anksčiau, o priverstas išeiti į atsargą.	Therefore, he has not been given another government job, as promised earlier, but forced into retirement.	As a result, he was not moved to another post, as promised earlier, but forced to go to reserve.	0		
362	-0.91	"Iš paveldo ištraukti tą senąjį terminalą būtų politiškai svarbus žingsnis, kad galima būtų jį nugriausti ir statyti naują modernų atvykimo terminalą, kad į Vilnių atskridus jaustis modernioje šalyje, o ne tokiam įdomiame, tikrai nereprezentuojančiame mūsų šalies kaip inovatyvios", - praėjusią savaitę Seime teigė p. Masiulis.	“Deletion of the old terminal from the heritage register would be a politically important step in order that we could demolish it and build a new modern arrivals terminal so that upon arrival to Vilnius, travelers could feel themselves in a modern country, rather than in a curiosity place that really does not strike as representing our country as an innovative one,” Mr. Masiulis asserted last week in the Seimas.	"It would be a politically important step to remove that old terminal from heritage so that it can be demolished and build a new modern arrival terminal so that it can feel in a modern country when it arrives in Vilnius and not so interesting, certainly not representing our country as innovative," Mr. Masiulis said at the Seimas last week.	1		
324	-0.888	Tai ir jos keitimas, ypatingai jos pirmajame skirsnyje esančių straipsnių, tikrai turėtų būti ne mažesne dauguma .	Therefore, its amendment, particularly of the articles in its Chapter I, should be subject to no less majority vote.	It should certainly be at least a smaller majority, especially for the articles in its first section.	1		
326	-0.888	Jis akcentavo, kad pirmajame Konstitucijos skirsnyje apibrėžiami pamatiniai valstybės dalykai - kalba, vėliava, teritorija, sostinė, valstybės suverenitetas, todėl sumažinus šiems straipsniams pakeisti būtiną balsų skaičių, anot M. Lingės, būtų sukurtas "neigiamas precedentas" ir "atsivertų nevaldoma rizika".	He emphasized that Chapter One of the Constitution defines fundamental matters of the state - the language, the flag, the territory, the capital city, the sovereignty of the state, therefore, if the number of votes necessary to amend these articles were reduced, this, according to M. Lingė, would create a "negative precedent" and "would open a way for uncontrollable risk".	He stressed that the first section of the Constitution defines the fundamental things of the state - language, flag, territory, capital, state sovereignty, therefore reducing the number of votes necessary to amend these articles, according to M. Lingė, would create a "negative precedent" and "open up unmanageable risks."	0		
497	-0.871	Tačiau to nebus spėta padaryti iki šio ketvirtadienio VRK posėdžio, todėl, anot p. Matjošaitytės, "dotacijos bus skirstomos pagal ir iki šiol egzistavusią teisinę tvarką".	But that will not be made by the CEC meeting this Thursday, therefore, according to Ms. Matjošaitytė, “grants will be distributed according to the legal procedure that has existed until now”.	However, this will not be possible until this Thursday's HEC meeting, therefore, according to Ms. Matjošaitytė, "grants will be allocated according to the legal order that has existed so far."	0		
150	-0.838	"Parlamentarai pažymi, jog atsižvelgiant į tai, kaip įstatyme suformuluotas draudimas statyti atliekų tvarkymo valstybinės reikšmės objektus (t. y. nustatomas atstumas ir apibrėžiama "gyvenamosios teritorijos" sąvoka), darytina išvada, kad šiuo draudimu yra neproporcingai ribojama ar net paneigiama pačios teisės vykdyti ūkinę veiklą, susijusią su atliekų deginimu energijai gaminti, esmė, nes įtvirtinti kriterijai suformuluoti taip, kad, įvertinus Lietuvos gyventojų tankumą bei pasiskirstymą šalyje, statyti tokius objektus būtų praktiškai neįmanoma visoje šalies teritorijoje", - priduriama jame.	It adds that “the members of the Seimas note that taking into account how the law words the prohibition to construct waste management objects of national importance (i.e. determines a distance and defines the concept of “residential territory”), a conclusion is to be made that this prohibition disproportionately restricts or even denies the very essence of the right to perform economic activities related to burning of waste to produce energy, as the established criteria are worded so that, having in mind the population density and distribution in Lithuania, construction of such objects would be practically impossible in the whole territory of the country”.	"Parliamentarians note that, given the way in which the law formulates a ban on the construction of waste management objects of national importance (i.e. setting a distance and defining the concept of" residential territory "), it should be concluded that this ban disproportionately limits or even negates the essence of the right to carry out economic activities related to the incineration of waste for energy production, as the established criteria are formulated in such a way that, given the density and distribution of the Lithuanian population in the country, it would be practically impossible to build such facilities throughout the territory of the country," it adds.	0		
618	-0.808	Kai kuriuose miesteliuose trūko vietos, tačiau, pasak A. Anušausko, skundai ir pažeidimai susiję su keliomis dešimtimis biuletenių.	In some towns there was not enough space, but, according to A. Anušauskas, complaints and violations related to only dozens of ballots.	Some towns lacked space, but according to A. Anušauskas, complaints and violations related to several dozen ballots.	0		
242	-0.808	Reaguodami į gautą pranešimą pareigūnai nedelsiant pradėjo vyro paiešką, tikrintos Ručiūnų kaimo apylinkės ir kitos vietovės, tačiau vyro rasti nepavyko.	In response to the report, the officers immediately started the search for the man, the surroundings of Ručiūnai village and other locations were checked, but to no avail.	In response to the report received, officers immediately began the search for the man, the surroundings of Ručiūnai village and other areas were checked, but the man could not be found.	0		
613	-0.798	Ne visi rinkimuose dalyvavę žmonės buvo patyrę - jiems tai irgi buvo naujiena.	Not everyone taking part in the elections were skilled at it - it was a new experience for them, too.	Not all the people who took part in the elections had experience - it was also news to them.	0		
340	-0.69	Mes privalome atnaujinti Vilniaus oro uostą - tai net nepatenka į tolimąjį planavimą, tai yra minimumas, ką privalome padaryti", - Demokratijos plėtros fondo ir žurnalo "Valstybė" surengtoje susisiekimo konferencijoje antradienį sakė p. Masiulis.	We must renovate the Vilnius airport - that is not even a matter of long-term planning, it is the minimum that we must do,” said Mr. Masiulis on Tuesday in the conference on transport and communications organized by the Democracy Development Foundation and the magazine “Valstybė”.	We must renew Vilnius airport - this does not even fall under long-term planning, that is the minimum we must do, "Mr. Masiulis said at a transport conference organised by the Endowment for Democratic Development and the magazine" Valstybė. "	0		
327	-0.651	"Prezidentės nuomone, nereikia jokių dirbtinių palengvinimų, labiau reikia ruoštis pačiam referendumui, reikia daugiau dialogo su žmonėmis", - tikino jis.	"In the opinion of the President, no artificial easing is necessary, rather more efforts should be used to get ready for the very referendum, there should be more dialogue with people,” he was trying to convince.	"In the opinion of the President, we do not need any artificial facilitations, we need to prepare more for the referendum itself, we need more dialogue with the people," he assured.	0		
395	-0.546	Bet taip pat labai svarbus dalykas - neįsikalbėti ligos", - pirmadienį viešėdamas Briuselyje sakė V. Šapoka.	But it is also very important not to convince oneself to be already sick," said V. Šapoka on Monday, during his visit in Brussels.	But also a very important thing is not to communicate the disease, "V. Šapoka said during his visit to Brussels on Monday.	1		
516	-0.513	Jis taip pat sakė, kad politinės spekuliacijos šia tema nepadės išaiškinti situaciją, o dar labiau viską supainios.	He also said any political speculations on the subject would not help to solve the situation, but would make it more complicated.	He also said that political speculation on this subject would not help to clarify the situation, but would further confuse everything.	0		
243	-0.488	Vyro požymiai: apie 175 cm ūgio, lieso kūno sudėjimo, trumpų šviesių plaukų, be barzdos ir be ūsų.	Man’s traits: about 175 cm high, thin, short light hair, no beard and no moustache.	Signs of a man: About 175 cm tall, lean body composition, short light hair, without a beard and without ours.	1		
749	-0.465	Nevyriausybininkai siūlo neriboti svarbių duomenų apie kandidatus rinkimuose viešinimo	Non-governmental organizations suggest not to limit publicising of important data about election candidates	Non-Government Officials Offer Unlimited Publication of Important Data on Candidates in Elections	0		
609	-0.385	Kai kurios savivaldybės leido naudotis savo patalpomis, tačiau ne visur buvo balsavimo kabinos, nes negalime jų įsigyti patys.	Some municipalities allowed us to use their premises, but not all of them had polling-booths as we cannot acquire them ourselves.	Some municipalities allowed their premises to be used, but there were not voting cabins everywhere because we cannot buy them ourselves.	0		
783	-0.38	Kai vyrui netenka būti didžiuosiuOse ekranuose, I. Elba dirba diskžokėjumi vakarėliuose, rengiamuose Ispanijoje, o ypatingai šurmulingoje Ibizoje.	When he does not play in movies, I. Elba works as a DJ in parties in Spain, particularly in the busy Ibiza.	When a man does not have to be on the big screens, I. Elba works as a discoverer at parties held in Spain and especially in bustling Ibiza.	1		
902	-0.362	Prieš tai Kauno pilies elementai skarda buvo uždengti dar sovietmečiu, tad jie istorinės vertės jau nebeturėjo", - detalizavo Kauno miesto muziejaus direktorius.	Previously, the Kaunas Castle elements were tinned in Soviet times, which means that they did not have historic value as such,” the Director of the Kaunas City Museum went to details.	Before that, the elements of Kaunas castle were covered with the tin during the Soviet era, so they no longer had historical value, "- detailed the director of Kaunas City Museum.	0		
125	-0.344	Tai puikus pavyzdys, kaip dronai neturėtų būti naudojami", - leidiniui "The Verge" sakė ekologas Markas Ditmeras.	It is a perfect example of how drones should not be used,” the ecologist Mark Ditmer said to the publication “The Verge”.	This is a great example of how Drones should not be used, "ecologist Mark Ditmer told The Verge.	0		
389	-0.299	Madagaskaras yra sala Indijos vandenyne, netoli rytinio Afrikos kranto.	Madagascar is an island in the Indian Ocean, not far from the eastern coast of Africa.	Madagascar is an island in the Indian Ocean, near the east coast of Africa.	0		
55	-0.294	Šias lėšas savivaldybės galės naudoti ne tik kačių ir šunų ženklinimui, bet ir kastracijos bei kitoms programoms.	Municipalities will be able to use these funds not only for marking of cats and dogs, but also for castration and other programs.	Municipalities will be able to use these funds not only for the labelling of cats and dogs, but also for castration and other programmes.	0		
817	-0.25	Tačiau L. Varadkaras žurnalistams Dubline sakė, kad jo vyriausybė to "negali palaikyti".	But L. Varadkar told reporters in Dublin that his government “can’t countenance” this.	However, Varadkar told reporters in Dublin that his government "cannot support this."	0		
699	-0.246	Rašoma, kad J. Lucenko pridūrė, jog "negali leisti šalyje dvivaldystės, kai teisėsaugos sistema žlugdoma be jokių įrodymų, net už atskleistus nusikaltimus".	It is written that J. Lutsenko added that "he cannot permit the diarchy in the country, when the law enforcement system is ruined without any evidence, even for revealed crimes".	It is said that J. Lutsenko added that "he cannot allow double rule in the country when the law enforcement system is disrupted without any evidence, even for the crimes revealed."	0		
501	-0.243	Septynioms partijoms jau paskirstytos dotacijos dėl tokio sprendimo nenukentėtų.	The grants already distributed to seven parties would not be diminished by reason of such a decision.	Grants already distributed to seven parties would not suffer as a result of such a decision.	0		
755	-0.23	Plius dydžio realybės šou "Dydžio (r) evoliucija" dalyvės jau šiandien įrodys, kad nuotakos grožis ir elegancija tikrai nepriklauso nuo moters kilogramų.	Participants of the plus-size reality show "Size (r)evolution" will prove already today that beauty and elegance of a bride do not really depend on the woman’s weight.	Participants of the plus-size reality show "Size (r) evolution" will prove already today that the beauty and elegance of the bride really does not depend on a woman's kilograms.	0		
507	-0.221	"Noriu pareikšti, kad nė viena versija - o jų šiandien daugiau nei 20 - nebus atmesta.	“I want to declare that none of the versions - and we have more than 20 today - will be ignored.	"I want to state that no version - and more than 20 today - will be rejected.	0		
796	-0.182	Valdantieji nebesiekia, kad statant atliekų deginimo jėgaines, būtų išlaikytas 20 kilometrų atstumas nuo gyvenviečių.	The ruling parties do not seek any more that 20 km distance to settlements be kept in case of construction of waste-to-energy power plants.	The ruling parties no longer want the construction of waste-to-energy power plants to maintain a distance of 20 kilometres from the settlements.	0		
887	-0.179	P. Mačiulis dar neturėjo progos pasikalbėti su V. Ušacku po to, kai šis sekmadienį pralaimėjo pirminius Tėvynės sąjungos-Lietuvos krikščionių demokratų sąjungos rinkimus Ingridai Šimonytei.	P. Mačiulis has not had an opportunity yet to talk to V. Ušackas after he lost the preliminary elections of the Homeland Union – Lithuanian Christian Democrats (TS-LKD) to Ingrida Šimonytė on Sunday.	P. Mačiulis has not yet had the opportunity to talk to V. Ušackas after he lost the primary elections of the Homeland Union - Lithuanian Christian Democratic Union to ingrida Šimonytė on Sunday.	0		
252	-0.177	Po incidento nufilmuotoje vaizdo medžiagoje matyti, kad jis nesunkiai sužeistas.	The video material shot after the incident reveals that his injuries were not severe.	Video footage filmed after the incident shows him easily injured.	1		
164	-0.174	LeBrono Jameso karjeros pradžia Los Andželo "Lakers" klube nėra tokia, kokios tikėjosi jis pats, organizacija ir krepšinio gerbėjai.	The start of LeBron James’ career in Los Angeles Lakers club is not as expected by him himself, the team and basketball fans.	Lebron James' career start at the Los Angeles Lakers is not what he himself, organization and basketball fans expected.	0		
171	-0.134	Puolėjui nepalanki +/- statistika, rodanti, kiek taškų daugiau įmeta ar praleidžia ekipa, kai aikštėje yra tam tikri žaidėjai.	"=+/- stats, showing the difference in points scored or missed by the team when certain players are on the court, is not favorable for the player."	Striker is unfavorable + / - statistics showing how many points more are scored or missed by the team when there are certain players on the field.	1		
461	-0.128	Panaikinti išteisinamąjį nuosprendį prašo ir žuvusio motociklininko šeimos advokatė.	The family lawyer of the deceased biker also asks for reversal of the verdict of not guilty.	The family lawyer of the dead rider also asks for the conviction to be lifted.	1		
764	-0.101	Vestuvinių suknelių demonstravimo užduotį dar apsunkino ir tai - dabar jau galiu atskleisti - kad pasirodė dvi naujokės, kurios tikrai nebuvo prastesnės už senbuves.	The task of demonstrating wedding dresses was also made harder by the fact - I can already reveal it now - that two new girls arrived, who really were no worse than the veterans of the show.	The task of demonstrating wedding dresses has been made even more difficult by the fact - and I can now reveal - that two newcomers have appeared who were certainly not worse than the old ones.	0		
169	-0.071	Tačiau ji pasako ne visą tiesą.	But that is not the whole truth.	However, it does not tell the whole truth.	0		
496	-0.054	Seimas dar nėra apsisprendęs dėl šio veto, bet valdančiųjų atstovai p. Kirkilas ir valstiečių-žaliųjų lyderis Ramūnas Karbauskis tikina, jog parlamentarai sieks atmesti prezidentės prieštaravimus.	The Seimas has not yet made up its mind regarding this veto, but the representatives of the ruling parties Mr. Kirkilas and Ramūnas Karbauskis, the leader of the Farmers and Greens Union, say that the Seimas will seek to reject the President’s objections.	The Seimas has not yet decided on this veto, but representatives of the ruling parties P. Kirkilas and the leader of the peasant-Greens Ramūnas Karbauskis argue that parliamentarians will seek to reject the President's objections.	0		
756	-0.053	Bet tai dar ne viskas - vienai iš projekto merginų šį vakarą liesis laimės ašaros - filmavimo aikštelėje pasirodys jos vaikinas.	But that is not everything - one of the girls in the project will shed tears of happiness - her boyfriend will show up on the shooting scene.	But that's not all - one of the project girls will be filled with tears of happiness this evening - her boyfriend will appear on the filming court.	0		
636	-0.046	K. Strupas mano, kad artimiesiems teikiamos dovanos neturi būti deklaruojamos, jis teigia taip supratęs įstatymo išimtį.	K. Strupas thinks that gifts to close relatives do not have to be declared, he says this is how he understood the exemption from the law.	K. Strupas believes that gifts given to relatives should not be declared, he says he understood the exception to the law.	0		
775	-0.013	Nors vyras teigia, kad ši žinia buvo netikėta, pasakodamas apie naująjį titulą, jis nestokojo šmaikštumo.	Though the man says the news was unexpected, speaking about his new title he was not looking for words.	Although the man claims this message was unexpected, he was not short of witty when telling us about the new title.	0		
944	-0.012	Rytų Europos studijų centras veikia įgyvendinamų projektų pagrindu ir nėra išlaikomas tikslinių dotacijų.	The Eastern Europe Studies Centre functions on the grounds of the implemented projects and is not supported by target subsidies.	The Eastern Europe Studies Centre operates on the basis of implemented projects and is not maintained by targeted grants.	0		
161	-0.009	Tačiau Vyriausybės teisės stabdyti jau pradėtus projektus atsisakyti neplanuojama.	But the Seimas does not plan to cancel the right of the Government to stop already started projects.	However, it is not planned to waive the government's right to suspend projects that have already started.	0		
520	0.033	"Niekam nebus leista pasinaudoti šia situacija padėties šalyje destabilizavimui", - patikino jis.	“No one will be allowed to make use of this situation in order to destabilize the country,” assured he.	"No one will be allowed to take advantage of this situation to destabilise the country," he assured.	0		
153	0.051	Šiuo atveju, Vyriausybei suteikiami įgaliojimai taikyti įstatymą atgal, vadovaujantis neapibrėžtu kriterijumi.	In this case, the Government is given powers to apply the law retroactively, following an indefinite criterion.	In this case, the government is given the power to apply the law back on the basis of an undefined criterion.	1		
128	0.06	Kai priartėdavo dronas vieni lokiai pasileisdavo bėgti, kiti niekur nebėgdavo, tačiau visų jų širdys nuo išgąsčio pradėdavo plakti dažniau.	When a drone used to come close, some bears started running, while others did not, but the hearts of all of them were pounding with fear.	When the drone approached, some bears made their way to run, others did not run anywhere, but the hearts of all of them began to beat more often from fear.	0		
102	0.105	Visi herojai yra ne tokie, kokie atrodė iš pirmo žvilgsnio...	All the characters are not such as they looked at first sight...	All heroes are not what they seemed at first sight...	0		
8	0.108	Naujasis advokatas A. Doroševas pažymėjo nespėjęs susipažinti nei su kaltinamuoju aktu, nei su visa bylos medžiaga.	The new advocate A. Doroševas admitted that he had not yet had time to get familiar either with the statement of charges or the case file in full.	The new lawyer A. Doroševas noted that he had not been able to get acquainted with either the indictment or all the case-file.	0		
640	0.111	Asmenys, pažeidę viešųjų ir privačių interesų valstybės tarnyboje derinimo įstatymą, metus negali būti skatinami.	Persons, having breached the Law on the Adjustment of Public and Private Interests in the Civil Service, cannot be given incentives for a year.	Persons who violate the law on the coordination of public and private interests in the public service may not be encouraged for a year.	0		
119	0.129	Jam pavyksta ne iš pirmo karto, tačiau mažylis nė nebando pasiduoti ir pagaliau pasiekia savo tikslą.	It does not succeed at first, but the cub does not even try to give up and finally reaches its goal.	He succeeds not at first, but the little one does not try to give up and finally achieves his goal.	1		
616	0.131	Tie skundai visgi nesudaro pagrindo abejoti rezultatais", - sakė A. Anušauskas.	Those complaints, though, are not a reason to doubt the results,” A. Anušauskas said.	Those complaints do not, however, give rise to doubts about the results, "said A. Anušauskas.	0		
531	0.151	Pristatydamas futuristinį tualetą, Billas Gatesas perėjimą nuo tradicinių tokių įrenginių prie be vandentiekio lygino su praėjusio amžiaus aštunto dešimtmečio kompiuterių revoliucija.	Presenting a futurist toilet, Bill Gates compared transfer from the conventional such facilities to those without water supply to the computer revolution in the eighth decade.	Presenting a futuristic toilet, Bill Gates compared the transition from traditional such facilities to without water supply with the computer revolution of the 1970s.	0		
198	0.153	"Staigių sprendimų aš tikrai šiandien nedarau, šią savaitę, manau, apsispręsiu.	"I am really not taking any fast decisions today, I will make up my mind this week, I think.	I really don't make sudden decisions today, I think I'll make a decision this week.	0		
436	0.175	Jaunavedžiai skrido į Sant Antonijaus tarptautinį oro uostą, kur ketino sėsti į lėktuvą ir skristi medaus mėnesio, sakė S. Kennedy, nenurodęs galutinio poros kelionės tikslo.	The flight was to carry the newlyweds to San Antonio International Airport, where they were to board a plane for their honeymoon, said S. Kennedy, who did not indicate the couple’s final destination.	The newlyweds flew to Sant Antony International Airport, where they were going to board a plane and fly honeymoon, said Mr Kennedy, without specifying the couple's final destination.	0		
392	0.176	Finansų ministras apie galimą krizę: svarbu neįsikalbėti ligos	Minister of Finance about a possible crisis: it is important not to convince oneself to be sick already	Minister of Finance on a possible crisis: It is important not to talk about the disease	1		
294	0.177	Vienas iš bendrovės įkūrėjų Rusdi Kirana nebuvo pakviestas pasisakyti susisiekimo ministro Budi Karyos Sumadi, moderavusio šeimų narių susitikimą su pareigūnais, prižiūrinčiais lėktuvo ir aukų liekanų paieškas bei katastrofos tyrimą.	Rusdi Kirana, a co-founder of the company, was not invited to speak by the Minister of Transport Budi Karyos Sumadi, who moderated the meeting between relatives and the officials who are overseeing the effort of search for the plane and victim remains and the accident investigation.	Rusdi Kirana, a co-founder of the company, was not invited to speak to the Minister of Transport and Communications, watchdog Karyos Sumadi, who moderated a meeting of family members with officials overseeing the search for the remains of the plane and victims and the investigation of the disaster.	0		
881	0.206	Pasitraukęs Kauno vicemeras į politiką grįžti neplanuoja	The former vice-mayor of Kaunas has no plans to be back in politics	The retired Kaunas Vice-Mayor does not plan to return to politics	0		
757	0.217	"Dar yra tokių, kurie mano, kad stambesnės merginos nesulaukia vaikinų dėmesio ar žvilgsnių.	"Still there are people who think that bigger girls do not get boys’ attention or glances.	"There are still those who think that bigger girls do not get the attention or glimpses of guys.	0		
208	0.217	Filme galima išvysti dar niekur nerodytų kadrų iš koncertų užkulisių, repeticijų ar laisvalaikio.	The movie contains pictures from concert backstage, rehearsals or time off that have never been shown elsewhere.	In the film you can see shots from the concert backstage, rehearsals or leisure that have not yet been shown anywhere.	0		
882	0.217	Buvęs Kauno vicemeras Povilas Mačiulis, dėl paramos Vygaudui Ušackui prezidento rinkimuose palikęs darbą savivaldybėje ir "Vieningo Kauno" organizaciją, į politiką grįžti neplanuoja ir žada susitelkti į verslą.	The former vice-mayor of Kaunas Povilas Mačiulis, who left his job in the municipality and the organization Vieningas Kaunas in order to support Vygaudas Ušackas in the presidential elections, does not intend to return to politics and is going to focus on business instead.	Povilas Mačiulis, former Kaunas Vice-Mayor, who left his job in the municipality and "Vieningas Kauno" organization due to support for Vygaudas Ušackas in the presidential elections, does not plan to return to politics and promises to focus on business.	0		
617	0.225	Pasak CRK pirmininko, pasitaikė atvejų, kuomet balsavimo biuleteniai buvo neantspauduoti, - apie tai sužinojus, balsadėžėse rasti biuleteniai be antspaudo buvo anuliuoti.	According to the Chairman of the Central Electoral Commission, there were cases when voting ballots were not stamped - having learnt about that, the unstamped voting ballots found in ballot boxes were annulled.	According to the President of the CRK, there were cases where the voting ballots were unstamped - when they learned about this, the ballot papers found in the ballot boxes were annulled without a stamp.	1		
898	0.231	Stogeliai nebebuvo atsparūs drėgmei, tad taip buvo kenkiama ir paveldui", - aiškino muziejaus direktorius.	The shelters were not humidity resistant, so the heritage suffered, too,” the museum director explained.	The roofs were no longer resistant to moisture, so heritage was also damaged, "explained the director of the museum.	0		
337	0.246	Lietuvos oro uostų ir kelių infrastruktūra pradeda braškėti, todėl ją būtina atnaujinti, sako susisiekimo ministras Rokas Masiulis.	The Lithuanian airport and road infrastructure starts to be inadequate, therefore, it is necessary to renovate it, says the Minister of Transport and Communications Rokas Masiulis.	The infrastructure of Lithuanian airports and roads is beginning to crawl, so it needs to be upgraded, says Minister of Transport and Communications Rokas Masiulis.	1		
745	0.249	Ši partija neturi savo atstovo VRK, kai iš jos pasitraukė Donatas Laurinavičius.	This party does not have its representative in the CEC after the resignation of Donatas Laurinavičius.	This party does not have its own representative in the EC when Donatas Laurinavičius left it.	0		
